NOM, ACC, DAT, ILL, INE, etc. - nominal cases
pl - plural
P1sg, P2sg, P1pl, etc. - possessive with 1st person singular possessor, 2nd person singular possessor, 1st person plural possessor, etc.
NPoss - nominal possessive marking (é)
NPoss+ - plural of nominal possessive marking (éi)

NOM	kutya
ACC	kutyát
DAT	kutyának
ILL	kutyába
INE	kutyában
ELA	kutyából
ALL	kutyához
ADE	kutyánál
ABL	kutyától
SUB	kutyára
SUP	kutyán
DEL	kutyáról
INS	kutyával
FAC	kutyává
FOR	kutyaként
TEM	kutyakor
CAU	kutyáért
TER	kutyáig
SOC	kutyástul
ESS	kutyául
pl, NOM	kutyák
pl, ACC	kutyákat
pl, DAT	kutyáknak
pl, ILL	kutyákba
pl, INE	kutyákban
pl, ELA	kutyákból
pl, ALL	kutyákhoz
pl, ADE	kutyáknál
pl, ABL	kutyáktól
pl, SUB	kutyákra
pl, SUP	kutyákon
pl, DEL	kutyákról
pl, INS	kutyákkal
pl, FAC	kutyákká
pl, FOR	kutyákként
pl, CAU	kutyákért
pl, TER	kutyákig

P1sg, NOM	kutyám
P1sg, ACC	kutyámat
P1sg, DAT	kutyámnak
P1sg, ILL	kutyámba
P1sg, INE	kutyámban
P1sg, ELA	kutyámból
P1sg, ALL	kutyámhoz
P1sg, ADE	kutyámnál
P1sg, ABL	kutyámtól
P1sg, SUB	kutyámra
P1sg, SUP	kutyámon
P1sg, DEL	kutyámról
P1sg, INS	kutyámmal
P1sg, FAC	kutyámmá
P1sg, FOR	kutyámként
P1sg, TEM	kutyámkor
P1sg, CAU	kutyámért
P1sg, TER	kutyámig
P1sg, ESS	kutyámul
P1sg, pl, NOM	kutyáim
P1sg, pl, ACC	kutyáimat
P1sg, pl, DAT	kutyáimnak
P1sg, pl, ILL	kutyáimba
P1sg, pl, INE	kutyáimban
P1sg, pl, ELA	kutyáimból
P1sg, pl, ALL	kutyáimhoz
P1sg, pl, ADE	kutyáimnál
P1sg, pl, ABL	kutyáimtól
P1sg, pl, SUB	kutyáimra
P1sg, pl, SUP	kutyáimon
P1sg, pl, DEL	kutyáimról
P1sg, pl, INS	kutyáimmal
P1sg, pl, FAC	kutyáimmá
P1sg, pl, FOR	kutyáimként
P1sg, pl, CAU	kutyáimért
P1sg, pl, TER	kutyáimig

P2sg, NOM	kutyád
P2sg, ACC	kutyádat
P2sg, DAT	kutyádnak
P2sg, ILL	kutyádba
P2sg, INE	kutyádban
P2sg, ELA	kutyádból
P2sg, ALL	kutyádhoz
P2sg, ADE	kutyádnál
P2sg, ABL	kutyádtól
P2sg, SUB	kutyádra
